Rxn_ID	Rxn_Name	GPR	Subsystem	Formula	Readable_Formula
rxn00834[c0]	IMP NAD oxidoreductase c0	MMP0133	Purine Conversions	cpd00001[c0] + cpd00003[c0] + cpd00114[c0]  <=> cpd00067[c0] + cpd00004[c0] + cpd00497[c0] 	H2O[c0] + NAD[c0] + IMP[c0]  <=> H[c0] + NADH[c0] + XMP[c0] 	
rxn12639[c0]	aminopeptidase c0	(MMP1204 or MMP1444)	Protein Degradation	cpd00001[c0] + cpd11587[c0]  <=> cpd00035[c0] + cpd00053[c0] 	H2O[c0] + Ala-Gln[c0]  <=> L-Alanine[c0] + L-Glutamine[c0] 	
rxn03080[c0]	6 7-Dimethyl-8-1-D-ribityllumazine 6 7-dimethyl-8-1-D-ribityl c0	MMP0050	Riboflavin, FMN, and FAD Metabolism	cpd02882[c0] + cpd11225[c0]  <=> cpd00067[c0] + 2 cpd00001[c0] + cpd00009[c0] + cpd02656[c0] 	4-1-D-Ribitylamino-5-aminouracil[c0] + 3-4-dihydroxy-2-butanone4-phosphate[c0]  <=> H[c0] + 2 H2O[c0] + Phosphate[c0] + 6-7-Dimethyl-8-1-D-ribityllumazine[c0] 	
rxn03085[c0]	5 10-Methylenetetrahydromethanopterin coenzyme-F420 oxidoreductase c0	MMP0058	Methanogenesis	cpd00792[c0] + cpd02679[c0]  <=> cpd02737[c0] + cpd00649[c0] 	Reduced_coenzyme_F420[c0] + 5_10-Methylenetetrahydromethanopterin[c0]  <=> 5-Methyl-H4MPT[c0] + Coenzyme_F420[c0] 	
rxn02297[c0]	6-Carboxyhexanoyl-CoA L-alanine C-carboxyhexanoyltransferase c0	MMP1574	Sphingolipid Biosynthesis; Biotin Biosynthesis	cpd00067[c0] + cpd00035[c0] + cpd00782[c0]  -> cpd00011[c0] + cpd00010[c0] + cpd00800[c0] 	H[c0] + L-Alanine[c0] + Pimeloyl-CoA[c0]  -> CO2[c0] + CoA[c0] + 8-Amino-7-oxononanoate[c0] 	
rxn05040[c0]	3 4-Dihydroxy-2-butanone 4-phosphate synthase c0	(MMP0183)	Riboflavin, FMN, and FAD Metabolism	cpd00171[c0]  -> cpd00067[c0] + cpd00047[c0] + cpd11225[c0] 	D-Ribulose5-phosphate[c0]  -> H[c0] + Formate[c0] + 3-4-dihydroxy-2-butanone4-phosphate[c0] 	
rxn00105[c0]	ATP nicotinamide-nucleotide adenylyltransferase c0	MMP1578	NAD/NADP Cofactor Biosynthesis	cpd00002[c0] + cpd00355[c0]  <=> cpd00003[c0] + cpd00012[c0] 	ATP[c0] + Nicotinamide_ribonucleotide[c0]  <=> NAD[c0] + PPi[c0] 	
rxn00799[c0]	S-Malate hydro-lyase c0	(MMP0130 or MMP1548)	TCA Cycle	cpd00130[c0]  <=> cpd00106[c0] + cpd00001[c0] 	L-Malate[c0]  <=> Fumarate[c0] + H2O[c0] 	
rxn00313[c0]	meso-2 6-Diaminoheptanedioate carboxy-lyase c0	MMP1200	Lysine Biosynthesis DAP Pathway	cpd00067[c0] + cpd00516[c0]  -> cpd00011[c0] + cpd00039[c0] 	H[c0] + meso-2_6-Diaminopimelate[c0]  -> CO2[c0] + L-Lysine[c0] 	
rxn10226[c0]	isoheptadecanoyl-CDPdiacylglycerol-serine O-phosphatidyltransferase c0	MMP1171	Glycerolipid and Glycerophospholipid Metabolism (Bacteria)	cpd00054[c0] + cpd15683[c0]  -> cpd00067[c0] + cpd00046[c0] + cpd15689[c0] 	L-Serine[c0] + CDP-1_2-diisoheptadecanoylglycerol[c0]  -> H[c0] + CMP[c0] + Diisoheptadecanoylphosphatidylserine[c0] 	
rxn05248[c0]	FACOAL150anteiso c0	MMP0566	Unsaturated Fatty Acid Biosynthesis; Biotin Biosynthesis	cpd00067[c0] + cpd00010[c0] + cpd00002[c0] + cpd11438[c0]  -> cpd00012[c0] + cpd00018[c0] + cpd11439[c0] 	H[c0] + CoA[c0] + ATP[c0] + fa4[c0]  -> PPi[c0] + AMP[c0] + fa4coa[c0] 	
rxn10223[c0]	isopentadecanoyl-phosphatidate cytidylyltransferase c0	MMP1698	Glycerolipid and Glycerophospholipid Metabolism (Bacteria)	cpd00052[c0] + cpd15680[c0]  <=> cpd00012[c0] + cpd15686[c0] 	CTP[c0] + 1_2-diisopentadecanoyl-sn-glycerol_3-phosphate[c0]  <=> PPi[c0] + CDP-1_2-diisopentadecanoylglycerol[c0] 	
rxn00285[c0]	Succinate CoA ligase ADP-forming c0	(MMP1105 and MMP0955)	TCA Cycle	cpd00010[c0] + cpd00036[c0] + cpd00002[c0]  <=> cpd00009[c0] + cpd00008[c0] + cpd00078[c0] 	CoA[c0] + Succinate[c0] + ATP[c0]  <=> Phosphate[c0] + ADP[c0] + Succinyl-CoA[c0] 	
rxn10307[c0]	palmitoyl-lipoteichoic acid synthesis n=24 linked N-acetylglucosamine substituted c0	MMP1423	Teichoic and Lipoteichoic Acids Biosynthesis	24 cpd00037[c0] + cpd15746[c0]  <=> 24 cpd00014[c0] + cpd15764[c0] 	24 UDP-N-acetylglucosamine[c0] + Palmitoyllipoteichoic_acid_n=24__linked__unsubstituted[c0]  <=> 24 UDP[c0] + Palmitoyllipoteichoic_acid_n=24__linked__N-acetyl-D-glucosamine[c0] 	
rxn00770[c0]	ATP D-ribose-5-phosphate pyrophosphotransferase c0	MMP0410	Pentose Phosphate Pathway; De Novo Purine Biosynthesis	cpd00002[c0] + cpd00101[c0]  <=> cpd00018[c0] + cpd00103[c0] 	ATP[c0] + ribose-5-phosphate[c0]  <=> AMP[c0] + PRPP[c0] 	
rxn00192[c0]	Acetyl-CoA L-glutamate N-acetyltransferase c0	MMP0897	Arginine Biosynthesis	cpd00022[c0] + cpd00023[c0]  -> cpd00067[c0] + cpd00010[c0] + cpd00477[c0] 	Acetyl-CoA[c0] + L-Glutamate[c0]  -> H[c0] + CoA[c0] + N-Acetyl-L-glutamate[c0] 	
rxn05938[c0]	Pyruvate Oxidoreductase	(MMP1504 and MMP1502 and MMP1505 and MMP1507 and MMP1503 and MMP1506)	Pyruvate:Ferredoxin Oxidoreductase	cpd00067[c0] + cpd00011[c0] + cpd00022[c0] + cpd11620[c0]  <=> cpd00010[c0] + cpd11621[c0] + cpd00020[c0] 	H[c0] + CO2[c0] + Acetyl-CoA[c0] + Reducedferredoxin[c0]  <=> CoA[c0] + Oxidizedferredoxin[c0] + Pyruvate[c0] 	
rxn00211[c0]	UDPglucose NAD oxidoreductase c0	MMP0706	Sucrose Metabolism; Teichuronic Acid Biosynthesis	cpd00001[c0] + 2 cpd00003[c0] + cpd00026[c0]  <=> 3 cpd00067[c0] + 2 cpd00004[c0] + cpd00144[c0] 	H2O[c0] + 2 NAD[c0] + UDP-glucose[c0]  <=> 3 H[c0] + 2 NADH[c0] + UDPglucuronate[c0] 	
rxn04783[c0]	glycinamide ribonucleotide transformylase c0	MMP0123	De Novo Purine Biosynthesis	cpd00047[c0] + cpd00002[c0] + cpd02394[c0]  -> cpd00067[c0] + cpd00009[c0] + cpd00008[c0] + cpd02678[c0] 	Formate[c0] + ATP[c0] + GAR[c0]  -> H[c0] + Phosphate[c0] + ADP[c0] + N-Formyl-GAR[c0] 	
rxn01739[c0]	ATP shikimate 3-phosphotransferase c0	MMP0320	Chorismate Synthesis	cpd00002[c0] + cpd00383[c0]  <=> cpd00008[c0] + cpd02030[c0] 	ATP[c0] + Shikimate[c0]  <=> ADP[c0] + 3-phosphoshikimate[c0] 	
rxn00543[c0]	Ethanol NAD oxidoreductase c0	MMP0802	Glycerolipid and Glycerophospholipid Metabolism (Bacteria)	cpd00003[c0] + cpd00363[c0]  <=> cpd00067[c0] + cpd00004[c0] + cpd00071[c0] 	NAD[c0] + Ethanol[c0]  <=> H[c0] + NADH[c0] + Acetaldehyde[c0] 	
rxn05235[c0]	Ribonucleotide reductase CTP c0	MMP0227	Ribonucleotide Reduction	cpd11421[c0] + cpd00052[c0]  -> cpd11420[c0] + cpd00001[c0] + cpd00356[c0] 	trdrd[c0] + CTP[c0]  -> trdox[c0] + H2O[c0] + dCTP[c0] 	
rxn06591[c0]	L-glutamate-semialdehyde NADP c0	MMP0088	Heme and Siroheme Biosynthesis	cpd00067[c0] + cpd00005[c0] + cpd12227[c0]  <=> cpd00006[c0] + cpd02345[c0] + cpd11912[c0] 	H[c0] + NADPH[c0] + L-Glutamyl-tRNA-Glu[c0]  <=> NADP[c0] + L-Glutamate1-semialdehyde[c0] + tRNA-Glu[c0] 	
rxn00126[c0]	ATP L-methione S-adenosyltransferase c0	MMP1640	Methionine Biosynthesis	cpd00060[c0] + cpd00001[c0] + cpd00002[c0]  -> cpd00009[c0] + cpd00012[c0] + cpd00017[c0] 	L-Methionine[c0] + H2O[c0] + ATP[c0]  -> Phosphate[c0] + PPi[c0] + S-Adenosyl-L-methionine[c0] 	
rxn00414[c0]	Carbon-dioxide L-glutamine amido-ligase ADP-forming c0	(MMP1589 and MMP1013)	De Novo Pyrimidine Synthesis	cpd00001[c0] + 2 cpd00002[c0] + cpd00242[c0] + cpd00053[c0]  -> cpd00067[c0] + cpd00009[c0] + 2 cpd00008[c0] + cpd00023[c0] + cpd00146[c0] 	H2O[c0] + 2 ATP[c0] + H2CO3[c0] + L-Glutamine[c0]  -> H[c0] + Phosphate[c0] + 2 ADP[c0] + L-Glutamate[c0] + Carbamoylphosphate[c0] 	
rxn06937[c0]	L-Glutamate tRNAGlu ligase AMP-forming c0	MMP1011	tRNA Aminoacylation; Heme and Siroheme Biosynthesis	cpd00067[c0] + cpd00002[c0] + cpd00023[c0] + cpd11912[c0]  -> cpd00012[c0] + cpd00018[c0] + cpd12227[c0] 	H[c0] + ATP[c0] + L-Glutamate[c0] + tRNA-Glu[c0]  -> PPi[c0] + AMP[c0] + L-Glutamyl-tRNA-Glu[c0] 	
rxn03127[c0]	2-Methylthioethanesulfonate N-7-thioheptanoyl-3-O- c0	MMP1555 and MMP1556 and MMP1557 and MMP1558 and MMP1559	Methanogenesis	cpd02438[c0] + cpd02817[c0]  <=> cpd02935[c0] + cpd01024[c0] 	Methyl_CoM[c0] + HTP[c0]  <=> CoM-S-S-CoB[c0] + Methane[c0] 	
rxn10312[c0]	isotetradecanoyl-lipoteichoic acid synthesis n=24 linked N-acetylglucosamine substituted c0	MMP1423	Teichoic and Lipoteichoic Acids Biosynthesis	24 cpd00037[c0] + cpd15751[c0]  <=> 24 cpd00014[c0] + cpd15769[c0] 	24 UDP-N-acetylglucosamine[c0] + Isotetradecanoyllipoteichoic_acid_n=24__linked__unsubstituted[c0]  <=> 24 UDP[c0] + Isotetradecanoyllipoteichoic_acid_n=24__linked__N-acetyl-D-glucosamine[c0] 	
rxn02508[c0]	N-5-Phospho-beta-D-ribosylanthranilate ketol-isomerase c0	MMP1004	Tryptophan Synthesis	cpd02642[c0]  <=> cpd00956[c0] 	N-5-phosphoribosyl-anthranilate[c0]  <=> 1-2-carboxyphenylamino-1-deoxyribulose_5-phosphate[c0] 	
rxn00127[c0]	S-Adenosyl-L-methionine carboxy-lyase c0	MMP1583	Polyamine Metabolism	cpd00067[c0] + cpd00017[c0]  -> cpd00011[c0] + cpd00837[c0] 	H[c0] + S-Adenosyl-L-methionine[c0]  -> CO2[c0] + S-Adenosylmethioninamine[c0] 	
rxn05251[c0]	FACOAL170anteiso c0	MMP0566	Unsaturated Fatty Acid Biosynthesis; Biotin Biosynthesis	cpd00067[c0] + cpd00010[c0] + cpd00002[c0] + cpd11433[c0]  -> cpd00012[c0] + cpd00018[c0] + cpd11434[c0] 	H[c0] + CoA[c0] + ATP[c0] + fa12[c0]  -> PPi[c0] + AMP[c0] + fa12coa[c0] 	
rxn02938[c0]	1-5-Phospho-D-ribosyl-5-amino-4-imidazolecarboxylate carboxy-lyase c0	MMP0282	De Novo Purine Biosynthesis	cpd00067[c0] + cpd02893[c0]  -> cpd00011[c0] + cpd02140[c0] 	H[c0] + 5'-Phosphoribosyl-4-carboxy-5-aminoimidazole[c0]  -> CO2[c0] + AIR[c0] 	
rxn00139[c0]	AMP pyrophosphate phosphoribosyltransferase c0	MMP0660	cAMP Signaling in Bacteria; Purine Conversions	cpd00128[c0] + cpd00103[c0]  -> cpd00012[c0] + cpd00018[c0] 	Adenine[c0] + PRPP[c0]  -> PPi[c0] + AMP[c0] 	
rxn05736[c0]	fatty-acid--CoA ligase tetradecanoate c0	MMP0566	Unsaturated Fatty Acid Biosynthesis; Biotin Biosynthesis	cpd00067[c0] + cpd00010[c0] + cpd00002[c0] + cpd03847[c0]  -> cpd00012[c0] + cpd00018[c0] + cpd01695[c0] 	H[c0] + CoA[c0] + ATP[c0] + Myristic_acid[c0]  -> PPi[c0] + AMP[c0] + Myristoyl-CoA[c0] 	
rxn05527[c0]	cytosine transport in via proton symport c0	(MMP0789)	Transport	cpd00067[e0] + cpd00307[e0]  <=> cpd00067[c0] + cpd00307[c0] 	H[e0] + Cytosine[e0]  <=> H[c0] + Cytosine[c0] 	
rxn02465[c0]	N-Acetyl-L-glutamate-5-semialdehyde NADP 5-oxidoreductase c0	MMP0116	Arginine Biosynthesis	cpd00005[c0] + cpd02552[c0]  -> cpd00006[c0] + cpd00009[c0] + cpd00918[c0] 	NADPH[c0] + n-acetylglutamyl-phosphate[c0]  -> NADP[c0] + Phosphate[c0] + 2-Acetamido-5-oxopentanoate[c0] 	
rxn09205[c0]	Phosphatidylserine syntase n-C12 0 c0	MMP1171	Glycerolipid and Glycerophospholipid Metabolism (Bacteria)	cpd00054[c0] + cpd15417[c0]  -> cpd00067[c0] + cpd00046[c0] + cpd15552[c0] 	L-Serine[c0] + CDP-1_2-didodecanoylglycerol[c0]  -> H[c0] + CMP[c0] + phosphatidylserine_didodecanoyl[c0] 	
rxn05957[c0]	O-Succinyl-L-homoserine succinate-lyase adding cysteine c0	MMP0012	Methionine Biosynthesis	cpd00239[c0] + cpd00822[c0]  -> cpd00067[c0] + cpd00135[c0] + cpd00036[c0] 	H2S[c0] + O-Succinyl-L-homoserine[c0]  -> H[c0] + Homocysteine[c0] + Succinate[c0] 	
rxn03513[c0]	S-Adenosyl-L-methionine precorrin-3B C17-methyltransferase c0	MMP0953	Coenzyme B12 Biosynthesis	cpd00017[c0] + cpd03833[c0]  <=> 2 cpd00067[c0] + cpd00019[c0] + cpd03834[c0] 	S-Adenosyl-L-methionine[c0] + Precorrin_3B[c0]  <=> 2 H[c0] + S-Adenosyl-homocysteine[c0] + Precorrin_4[c0] 	
rxn00549[c0]	D-Fructose-1 6-bisphosphate 1-phosphohydrolase c0	MMP0317	Glycolysis and Gluconeogenesis	cpd00001[c0] + cpd00290[c0]  -> cpd00067[c0] + cpd00009[c0] + cpd00072[c0] 	H2O[c0] + D-fructose-1_6-bisphosphate[c0]  -> H[c0] + Phosphate[c0] + D-fructose-6-phosphate[c0] 	
rxn01257[c0]	chorismate L-glutamine aminotransferase c0	MMP1005	Folate Biosynthesis; Tryptophan Synthesis	cpd00053[c0] + cpd00216[c0]  <=> cpd00023[c0] + cpd08210[c0] 	L-Glutamine[c0] + Chorismate[c0]  <=> L-Glutamate[c0] + ADC[c0] 	
rxn01740[c0]	Shikimate NADP 5-oxidoreductase c0	MMP0936	Chorismate Synthesis	cpd00006[c0] + cpd00383[c0]  <=> cpd00067[c0] + cpd00005[c0] + cpd01716[c0] 	NADP[c0] + Shikimate[c0]  <=> H[c0] + NADPH[c0] + 3-Dehydroshikimate[c0] 	
rxn12847[c0]	Gly-Try aminopeptidase c0	(MMP1204 or MMP1444)	Protein Degradation	cpd00001[c0] + cpd15606[c0]  <=> cpd00033[c0] + cpd00069[c0] 	H2O[c0] + Gly-Tyr[c0]  <=> Glycine[c0] + L-Tyrosine[c0] 	
rxn00416[c0]	L-aspartate L-glutamine amido-ligase AMP-forming c0	MMP0918	Glutamine/Glutamate/Aspartate/Asparagine Biosynthesis	cpd00001[c0] + cpd00002[c0] + cpd00041[c0] + cpd00053[c0]  -> cpd00012[c0] + cpd00023[c0] + cpd00018[c0] + cpd00132[c0] 	H2O[c0] + ATP[c0] + L-Aspartate[c0] + L-Glutamine[c0]  -> PPi[c0] + L-Glutamate[c0] + AMP[c0] + L-Asparagine[c0] 	
rxn01620[c0]	L-Fuculose-1-phosphate lactaldehyde-lyase c0	MMP1187	L-Fucose Utilization	cpd00806[c0]  <=> cpd00095[c0] + cpd00334[c0] 	L-Fuculose1-phosphate[c0]  <=> Glycerone-phosphate[c0] + L-Lactaldehyde[c0] 	
rxn00903[c0]	L-Valine 2-oxoglutarate aminotransferase c0	MMP0132	Amino Acid Biosynthesis	cpd00024[c0] + cpd00156[c0]  <=> cpd00123[c0] + cpd00023[c0] 	2-Oxoglutarate[c0] + L-Valine[c0]  <=> 3-Methyl-2-oxobutanoate[c0] + L-Glutamate[c0] 	
rxn00947[c0]	Palmitate CoA ligase AMP-forming c0	MMP0566	HMG CoA Synthesis	cpd00067[c0] + cpd00010[c0] + cpd00002[c0] + cpd00214[c0]  -> cpd00012[c0] + cpd00018[c0] + cpd00134[c0] 	H[c0] + CoA[c0] + ATP[c0] + Palmitate[c0]  -> PPi[c0] + AMP[c0] + Palmitoyl-CoA[c0] 	
rxn10310[c0]	isoheptadecanoyl-lipoteichoic acid synthesis n=24 linked N-acetylglucosamine substituted c0	MMP1423	Teichoic and Lipoteichoic Acids Biosynthesis	24 cpd00037[c0] + cpd15749[c0]  <=> 24 cpd00014[c0] + cpd15767[c0] 	24 UDP-N-acetylglucosamine[c0] + Isoheptadecanoyllipoteichoic_acid_n=24__linked__unsubstituted[c0]  <=> 24 UDP[c0] + Isoheptadecanoyllipoteichoic_acid_n=24__linked__N-acetyl-D-glucosamine[c0] 	
rxn00838[c0]	IMP L-aspartate ligase GDP-forming c0	MMP1432	Histidine Biosynthesis; Purine Conversions	cpd00041[c0] + cpd00038[c0] + cpd00114[c0]  -> 2 cpd00067[c0] + cpd00009[c0] + cpd02375[c0] + cpd00031[c0] 	L-Aspartate[c0] + GTP[c0] + IMP[c0]  -> 2 H[c0] + Phosphate[c0] + Adenylosuccinate[c0] + GDP[c0] 	
rxn00297[c0]	UDP-N-acetyl-D-glucosamine 2-epimerase c0	(MMP0705 or MMP0357)	Sialic Acid Metabolism	cpd00037[c0]  <=> cpd00861[c0] 	UDP-N-acetylglucosamine[c0]  <=> UDP-N-acetyl-D-mannosamine[c0] 	
rxn00065[c0]	ATP pyrophosphate-lyase cyclizing c0	(MMP1064 or MMP1120)	cAMP Signaling in Bacteria	cpd00002[c0]  -> cpd00012[c0] + cpd00446[c0] 	ATP[c0]  -> PPi[c0] + cAMP[c0] 	
rxn00141[c0]	S-Adenosyl-L-homocysteine hydrolase c0	MMP0920	Methionine Biosynthesis/Degradation	cpd00001[c0] + cpd00019[c0]  <=> cpd00135[c0] + cpd00182[c0] 	H2O[c0] + S-Adenosyl-homocysteine[c0]  <=> Homocysteine[c0] + Adenosine[c0] 	
rxn01454[c0]	S-3-Hydroxy-3-methylglutaryl-CoA acetoacetyl-CoA-lyase c0	MMP1211	Isoprenoid Biosynthesis; Archaeal Lipids	cpd00022[c0] + cpd00001[c0] + cpd00279[c0]  -> cpd00067[c0] + cpd00010[c0] + cpd00292[c0] 	Acetyl-CoA[c0] + H2O[c0] + Acetoacetyl-CoA[c0]  -> H[c0] + CoA[c0] + HMG-CoA[c0] 	
rxn00337[c0]	ATP L-aspartate 4-phosphotransferase c0	MMP1017	Lysine Biosynthesis DAP Pathway; Threonine and Homoserine Biosynthesis	cpd00067[c0] + cpd00002[c0] + cpd00041[c0]  <=> cpd00008[c0] + cpd01977[c0] 	H[c0] + ATP[c0] + L-Aspartate[c0]  <=> ADP[c0] + 4-Phospho-L-aspartate[c0] 	
rxn00777[c0]	D-Ribose-5-phosphate ketol-isomerase c0	MMP1189	Pentose Phosphate Pathway	cpd00101[c0]  <=> cpd00171[c0] 	ribose-5-phosphate[c0]  <=> D-Ribulose5-phosphate[c0] 	
rxn01512[c0]	ATP nucleoside-diphosphate phosphatransferase c0	MMP0283	Purine Conversions; Pyrimidine Conversions	cpd00002[c0] + cpd00297[c0]  <=> cpd00008[c0] + cpd00357[c0] 	ATP[c0] + dTDP[c0]  <=> ADP[c0] + TTP[c0] 	
rxn01466[c0]	Geranyl-diphosphate isopentenyl-diphosphate geranyltrans-transferase c0	MMP0045	Archaeal Lipids	cpd00113[c0] + cpd00283[c0]  <=> cpd00012[c0] + cpd00350[c0] 	Isopentenyldiphosphate[c0] + Geranyldiphosphate[c0]  <=> PPi[c0] + Farnesyldiphosphate[c0] 	
rxn02185[c0]	2-Acetolactate pyruvate-lyase carboxylating c0	(MMP0651 and MMP0650)	Branched Chain Amino Acid Synthesis; Acetoin, Butanediol Metabolism	cpd00668[c0] + cpd00056[c0]  <=> cpd00020[c0] + cpd03049[c0] 	ALCTT[c0] + TPP[c0]  <=> Pyruvate[c0] + 2-Hydroxyethyl-ThPP[c0] 	
rxn03406[c0]	Undecaprenyl-diphospho-N-acetylmuramoyl-N-acetylglucosamine- c0	MMP1206	Peptidoglycan Biosynthesis; Amino Acid Biosynthesis	cpd00002[c0] + cpd00013[c0] + cpd03487[c0]  -> cpd00067[c0] + cpd00009[c0] + cpd00008[c0] + cpd03488[c0] 	ATP[c0] + NH3[c0] + Undecaprenyl-diphospho-N-acetylmuramoyl-N-acetylglucosamine-L-alanyl-D-glutamyl-L-lysyl-D-alanyl-D-alanine[c0]  -> H[c0] + Phosphate[c0] + ADP[c0] + Undecaprenyl-diphospho-N-acetylmuramoyl-N-acetylglucosamine-L-alanyl-D-glutaminyl-L-lysyl-D-alanyl-D-alanine[c0] 	
rxn01106[c0]	2-Phospho-D-glycerate 2 3-phosphomutase c0	(MMP0598 or MMP1439 or MMP0112)	Glycolysis and Gluconeogenesis; Theronine and Homoserine Biosynthesis	cpd00482[c0]  <=> cpd00169[c0] 	2-Phospho-D-glycerate[c0]  <=> 3-Phosphoglycerate[c0] 	
rxn00293[c0]	UTP N-acetyl-alpha-D-glucosamine-1-phosphate uridylyltransferase c0	(MMP1076 and MMP1076)	Peptidoglycan Biosynthesis	cpd02611[c0] + cpd00062[c0]  <=> cpd00012[c0] + cpd00037[c0] 	N-Acetyl-D-glucosamine1-phosphate[c0] + UTP[c0]  <=> PPi[c0] + UDP-N-acetylglucosamine[c0] 	
rxn05740[c0]	cpd00155 phosphorylase c0	MMP1220	Glycogen Metabolism	cpd00067[c0] + cpd00009[c0] + cpd00155[c0]  <=> cpd00089[c0] + cpd15302[c0] 	H[c0] + Phosphate[c0] + Glycogen[c0]  <=> Glucose-1-phosphate[c0] + glycogenn-1[c0] 	
rxn11544[c0]	Hydrogenobyrinate <=> Hydrogenobyrinate a c diamide c0	(MMP1478 or MMP1477 or MMP0028)	Coenzyme B12 Biosynthesis	cpd00001[c0] + 2 cpd00002[c0] + 2 cpd00053[c0] + cpd03832[c0]  <=> 2 cpd00008[c0] + cpd00012[c0] + 2 cpd00023[c0] + cpd03913[c0] 	H2O[c0] + 2 ATP[c0] + 2 L-Glutamine[c0] + Hydrogenobyrinate[c0]  <=> 2 ADP[c0] + PPi[c0] + 2 L-Glutamate[c0] + Hydrogenobyrinate_diamide[c0] 	
rxn02277[c0]	7 8-Diaminononanoate carbon-dioxide cyclo-ligase c0	MMP1573	Biotin Biosynthesis	cpd00011[c0] + cpd00002[c0] + cpd00764[c0]  -> 3 cpd00067[c0] + cpd00009[c0] + cpd00008[c0] + cpd01311[c0] 	CO2[c0] + ATP[c0] + 7-8-Diaminononanoate[c0]  -> 3 H[c0] + Phosphate[c0] + ADP[c0] + Dethiobiotin[c0] 	
rxn12638[c0]	aminopeptidase c0	(MMP1204 or MMP1444)	Protein Degradation	cpd00001[c0] + cpd11588[c0]  -> cpd00067[c0] + cpd00033[c0] + cpd00129[c0] 	H2O[c0] + gly-pro-L[c0]  -> H[c0] + Glycine[c0] + L-Proline[c0] 	
rxn02480[c0]	5 10-Methenyltetrahydromethanopterin 10-hydrolase decyclizing c0	MMP1191	Methanogenesis	cpd00001[c0] + cpd02655[c0]  <=> cpd00067[c0] + cpd00936[c0] 	H2O[c0] + 5_10-Methenyltetrahydromethanopterin[c0]  <=> H[c0] + 5-Formyl-H4MPT[c0] 	
rxn12643[c0]	aminopeptidase c0	(MMP1204 or MMP1444)	Protein Degradation	cpd00001[c0] + cpd11583[c0]  -> cpd00035[c0] + cpd00107[c0] 	H2O[c0] + Ala-Leu[c0]  -> L-Alanine[c0] + L-Leucine[c0] 	
rxn03079[c0]	5 10-Methylenetetrahydromethanopterin coenzyme-F420 oxidoreductase c0	MMP0372	Methanogenesis	cpd00067[c0] + cpd00649[c0] + cpd02679[c0]  <=> cpd00792[c0] + cpd02655[c0] 	H[c0] + Coenzyme_F420[c0] + 5_10-Methylenetetrahydromethanopterin[c0]  <=> Reduced_coenzyme_F420[c0] + 5_10-Methenyltetrahydromethanopterin[c0] 	
rxn02264[c0]	Hydroxymethylbilane hydro-lyasecyclizing c0	MMP0394	Heme and Siroheme Biosynthesis	cpd00755[c0]  <=> cpd00001[c0] + cpd00774[c0] 	Hydroxymethylbilane[c0]  <=> H2O[c0] + UroporphyrinogenIII[c0] 	
rxn05209[c0]	Proton sodium antiport c0	MMP0100 or MMP0587 or MMP0679 or MMP0707 or MMP0864	Transport	2 cpd00067[c0] + cpd00971[e0]  <=> 2 cpd00067[e0] + cpd00971[c0] 	2 H[c0] + Na[e0]  <=> 2 H[e0] + Na[c0] 	
rxn08306[c0]	CDP-diacylglycerol synthetase n-C12 0 c0	MMP1698	Glycerolipid and Glycerophospholipid Metabolism (Bacteria)	cpd00052[c0] + cpd15521[c0]  <=> cpd00012[c0] + cpd15417[c0] 	CTP[c0] + 1_2-didodecanoyl-sn-glycerol_3-phosphate[c0]  <=> PPi[c0] + CDP-1_2-didodecanoylglycerol[c0] 	
rxn00148[c0]	ATP pyruvate O2-phosphotransferase c0	MMP1605	Glycolysis and Gluconeogenesis	cpd00002[c0] + cpd00020[c0]  <=> cpd00008[c0] + cpd00061[c0] 	ATP[c0] + Pyruvate[c0]  <=> ADP[c0] + Phosphoenolpyruvate[c0] 	
rxn00214[c0]	UDPglucose 4-epimerase c0	MMP1090	N-Linked Glycosylation in Bacteria	cpd00026[c0]  <=> cpd00043[c0] 	UDP-glucose[c0]  <=> UDP-galactose[c0] 	
rxn05197[c0]	Uracil ion-coupled transport c0	MMP0681 or MMP0689	Transport	cpd00067[e0] + cpd00092[e0]  <=> cpd00067[c0] + cpd00092[c0] 	H[e0] + Uracil[e0]  <=> H[c0] + Uracil[c0] 	
rxn05289[c0]	TRDR c0	MMP0959	Thioredoxin-disulfide Reductase; Pyrimidine Conversions	cpd00067[c0] + cpd11420[c0] + cpd00005[c0]  <=> cpd11421[c0] + cpd00006[c0] 	H[c0] + trdox[c0] + NADPH[c0]  <=> trdrd[c0] + NADP[c0] 	
rxn10228[c0]	isotetradecanoyl-CDPdiacylglycerol-serine O-phosphatidyltransferase c0	MMP1171	Glycerolipid and Glycerophospholipid Metabolism (Bacteria)	cpd00054[c0] + cpd15685[c0]  -> cpd00067[c0] + cpd00046[c0] + cpd15691[c0] 	L-Serine[c0] + CDP-1_2-diisotetradecanoylglycerol[c0]  -> H[c0] + CMP[c0] + Diisotetradecanoylphosphatidylserine[c0] 	
rxn01977[c0]	alpha-D-Glucose 6-phosphate ketol-isomerase c0	MMP1295	Glycolysis and Gluconeogenesis	cpd00079[c0]  <=> cpd00863[c0] 	D-glucose-6-phosphate[c0]  <=> beta-D-Glucose_6-phosphate[c0] 	
